Grundbuchamt/ Ort ;Anlage;Kaufpreis;Seite;Verkäufer:;Grundbuchblatt;Bezirk ;Eigentümer ;Rechtsnachfolger ;Ifd. Nummer ;Gemarkung;Flur ;Flurstück;Katastergröße (m^2);ca. Verkaufsgröße (m^2);WE - Nr.;SU - Nr.;falls zutreffend: Anteil;Bodenrichtwert 2024 (€/m^2);unknown_value;Bodenrichtwert 2016 ;Amnmerkungen Bodenrichtwert 2016 ;Grundstückspreise auf basis Bodenrichtwerte 2016;Adressen;comment;Nutzung laut Thelen ;;;
Dorsten ;Anlage 1.1.1(a)(i);500.000,00;8;ThyssenKrupp AG;17636;Dorsten;ThyssenKrupp AG;ThyssenKrupp AG;33;Dorsten;19;43;547;nicht genannt;93900;nicht erkennbar;nicht erkennbar;260;142.220,00;175;;95.725,00;Lilienstraße 25, 46284 Dorsten;;Erbbaurecht Wohnen und Gewerbe;;;
Dorsten ;Anlage 1.1.1(a)(i);500.000,00;8;ThyssenKrupp AG;17636;Dorsten;ThyssenKrupp AG;ThyssenKrupp AG;37;Dorsten;19;48;586;nicht genannt;93900;nicht erkennbar;nicht erkennbar;260;152.360,00;175;;102.550,00;Lilienstraße 35, 46284 Dorsten;;Erbbaurecht Wohnen und Gewerbe ;;;
Dorsten ;Anlage 1.1.1(a)(i);500.000,00;8;ThyssenKrupp AG;17636;Dorsten;ThyssenKrupp AG;ThyssenKrupp AG;41;Dorsten;19;53;308;nicht genannt;93900;nicht erkennbar;nicht erkennbar;260;80.080,00;175;;53.900,00;Lilienstraße 43, 46284 Dorsten;;Erbbaurecht Wohnen und Gewerbe ;;;
Dorsten ;Anlage 1.1.1(a)(i);500.000,00;8;ThyssenKrupp AG;17636;Dorsten;ThyssenKrupp AG;ThyssenKrupp AG;42;Dorsten;19;179;434;nicht genannt;93900;nicht erkennbar;nicht erkennbar;260;112.840,00;175;;75.950,00;Lilienstraße 47, 46284 Dorsten;;Erbbaurecht Wohnen und Gewerbe ;;;
Dorsten ;Anlage 1.1.1(a)(i);500.000,00;8;ThyssenKrupp AG;17636;Dorsten;ThyssenKrupp AG;ThyssenKrupp AG;46;Dorsten;19;64;4.387;nicht genannt;93900;nicht erkennbar;nicht erkennbar;260;1.140.620,00;175;;767.725,00;Asternstraße 13, 46284 Dorsten;;Erbbaurecht Wohnen und Gewerbe ;;;
nicht lesbar ;Anlage 1.1.1(a)(i);500.000,00;9;ThyssenKrupp AG;19289;nicht erkennbar;ThyssenKrupp AG;ThyssenKrupp AG;nicht erkennbar;nicht erkennbar;10;348;187;nicht genannt;93571;670;nicht zutreffend ;;0,00;;;0,00;;;;;;
nicht lesbar ;Anlage 1.1.1(a)(i);500.000,00;9;ThyssenKrupp AG;19289;nicht erkennbar;ThyssenKrupp AG;ThyssenKrupp AG;nicht erkennbar;nicht erkennbar;10;347;10;nicht genannt;93571;670;nicht zutreffend ;;0,00;;;0,00;;;;;;
nicht lesbar ;Anlage 1.1.1(a)(i);500.000,00;9;ThyssenKrupp AG;19289;nicht erkennbar;ThyssenKrupp AG;ThyssenKrupp AG;nicht erkennbar;nicht erkennbar;10;346;21;nicht genannt;93571;670;nicht zutreffend ;;0,00;;;0,00;;;;;;
nicht lesbar ;Anlage 1.1.1(a)(i);500.000,00;9;ThyssenKrupp AG;19289;nicht erkennbar;ThyssenKrupp AG;ThyssenKrupp AG;nicht erkennbar;nicht erkennbar;18;153;792;nicht genannt;93940;989;nicht zutreffend ;;0,00;;;0,00;;;;;;
nicht lesbar ;Anlage 1.1.1(a)(i);500.000,00;9;ThyssenKrupp AG;19289;nicht erkennbar;ThyssenKrupp AG;ThyssenKrupp AG;nicht erkennbar;nicht erkennbar;19;240;5.448;nicht genannt;93576;676;nicht zutreffend ;;0,00;;;0,00;;;;;;
nicht lesbar ;Anlage 1.1.1(a)(i);500.000,00;9;ThyssenKrupp AG;19289;nicht erkennbar;ThyssenKrupp AG;ThyssenKrupp AG;nicht erkennbar;nicht erkennbar;11;223;2.663;nicht genannt;93576;677;nicht zutreffend ;;0,00;;;0,00;;;;;;
nicht lesbar ;Anlage 1.1.1(a)(i);500.000,00;9;ThyssenKrupp AG;19289;nicht erkennbar;ThyssenKrupp AG;ThyssenKrupp AG;nicht erkennbar;nicht erkennbar;12;535;22.411;nicht genannt;93576;676;nicht zutreffend ;;0,00;;;0,00;;;;;;
nicht lesbar ;Anlage 1.1.1(a)(i);500.000,00;9;ThyssenKrupp AG;19289;nicht erkennbar;ThyssenKrupp AG;ThyssenKrupp AG;nicht erkennbar;nicht erkennbar;15;985;1.397;nicht genannt;93571;672;nicht zutreffend ;;0,00;;;0,00;;;;;;
nicht lesbar ;Anlage 1.1.1(a)(i);500.000,00;9;ThyssenKrupp AG;19289;nicht erkennbar;ThyssenKrupp AG;ThyssenKrupp AG;nicht erkennbar;nicht erkennbar;18;154;85;nicht genannt;93940;989;nicht zutreffend ;;0,00;;;0,00;;;;;;
nicht lesbar ;Anlage 1.1.1(a)(i);500.000,00;9;ThyssenKrupp AG;19289;nicht erkennbar;ThyssenKrupp AG;ThyssenKrupp AG;nicht erkennbar;nicht erkennbar;11;316;11.894;nicht genannt;93571;671;nicht zutreffend ;;0,00;;;0,00;;;;;;
Dorsten ;Anlage 1.1.1(a)(i);500.000,00;10;Thyssen Krupp AG;3802A;Dorsten;ThyssenKrupp AG;ThyssenKrupp AG;4;Dorsten;34;31;29.370;nicht genannt;93576;1038;nicht zutreffend ;0,8;23.496,00;1,5;;44.055,00;M2QG+GX4 Dorsten;;Land- und forstwirstschaftliche Flächen, Grün- und Freiflächen ;;;
Dorsten ;Anlage 1.1.1(a)(i);500.000,00;10;Thyssen Krupp AG;3802A;Dorsten;ThyssenKrupp AG;ThyssenKrupp AG;6;Dorsten;34;38;19.350;nicht genannt;93576;1038;nicht zutreffend ;0,8;15.480,00;1,5;;29.025,00;M2P9+HXX Dorsten;;Land- und forstwirstschaftliche Flächen, Grün- und Freiflächen ;;;
Dorsten ;Anlage 1.1.1(a)(i);500.000,00;10;Thyssen Krupp AG;3802A;Dorsten;ThyssenKrupp AG;ThyssenKrupp AG;7;Dorsten;34;45;2.036;nicht genannt;93576;1038;nicht zutreffend ;0,8;1.628,80;1,5;;3.054,00;M2PF+579 Dorsten;;Land- und forstwirstschaftliche Flächen, Grün- und Freiflächen ;;;
Dorsten ;Anlage 1.1.1(a)(i);500.000,00;10;Thyssen Krupp AG;3802A;Dorsten;ThyssenKrupp AG;ThyssenKrupp AG;8;Dorsten;34;72;28.414;nicht genannt;93576;1038;nicht zutreffend ;0,8;22.731,20;1,5;;42.621,00;M2M8+8Q5 Dorsten;;Land- und forstwirstschaftliche Flächen, Grün- und Freiflächen ;;;
Dorsten ;Anlage 1.1.1(a)(i);500.000,00;10;Thyssen Krupp AG;3802A;Dorsten;ThyssenKrupp AG;ThyssenKrupp AG;9;Dorsten;34;80;5.064;nicht genannt;93574;674;nicht zutreffend ;0,8;4.051,20;1,5;;7.596,00;M2J9+F5G Dorsten;;Land- und forstwirstschaftliche Flächen, Grün- und Freiflächen ;;;
Dorsten ;Anlage 1.1.1(a)(i);500.000,00;10;Thyssen Krupp AG;3802A;Dorsten;ThyssenKrupp AG;ThyssenKrupp AG;10;Dorsten;84;17;51.580;nicht genannt;93576;1037;nicht zutreffend ;0,8;41.264,00;1,5;;77.370,00;M2XR+RXC Dorsten;;Land- und forstwirstschaftliche Flächen, Grün- und Freiflächen ;;;
Dorsten ;Anlage 1.1.1(a)(i);500.000,00;10;Thyssen Krupp AG;3802A;Dorsten;ThyssenKrupp AG;ThyssenKrupp AG;16;Dorsten;44;258;40.129;nicht genannt;93576;676;nicht zutreffend ;0,8;32.103,20;;Für diese Fläche konnte kein BRW ermittelt werden;0,00;MX7V+Q97 Dorsten;;Land- und forstwirstschaftliche Flächen, Grün- und Freiflächen ;;;
Dorsten ;Anlage 1.1.1(a)(i);500.000,00;10;Thyssen Krupp AG;3802A;Dorsten;ThyssenKrupp AG;ThyssenKrupp AG;20;Dorsten;34;96;4.121;nicht genannt;93576;1038;nicht zutreffend ;0,8;3.296,80;1,5;;6.181,50;M2JF+G38 Dorsten;;Land- und forstwirstschaftliche Flächen, Grün- und Freiflächen ;;;
Dorsten ;Anlage 1.1.1(a)(i);500.000,00;10;Thyssen Krupp AG;3802A;Dorsten;ThyssenKrupp AG;ThyssenKrupp AG;36;Dorsten;39;255;1.947;nicht genannt;93571;670;nicht zutreffend ;0,8;1.557,60;1,5;;2.920,50;M2FH+WRV Dorsten;;Land- und forstwirstschaftliche Flächen, Grün- und Freiflächen ;;;
Dorsten ;Anlage 1.1.1(a)(i);500.000,00;10;Thyssen Krupp AG;3802A;Dorsten;ThyssenKrupp AG;ThyssenKrupp AG;42;Dorsten;34;127;31.692;nicht genannt;93576;1038;nicht zutreffend ;0,8;25.353,60;1,5;;47.538,00;M2M9+GVW Dorsten;;Land- und forstwirstschaftliche Flächen, Grün- und Freiflächen ;;;
